ZCTA5_x,ZCTA5_y,visitor_flows_x
53544,53521,0
53544,53523,0
53544,53527,0
53544,53528,0
53544,53529,0
53544,53531,0
53544,53532,0
53544,53534,0
53544,53544,0
53544,53558,0
53544,53559,0
53544,53562,0
53544,53572,0
53544,53574,0
53544,53575,0
53544,53589,0
53544,53590,0
53544,53593,0
53544,53594,0
53544,53597,0
53544,53598,0
53544,53703,0
53544,53704,0
53544,53705,0
53544,53706,0
53544,53711,0
53544,53713,0
53544,53714,0
53544,53715,0
53544,53716,0
53544,53717,0
53544,53718,0
53544,53719,0
53544,53726,0
53544,53792,0
53544,53925,0
53555,53508,0
53555,53515,0
53555,53516,0
53555,53517,0
53555,53521,0
53555,53523,0
53555,53527,0
53555,53528,1
53555,53529,4
53555,53531,0
53555,53532,41
53555,53534,0
53555,53544,0
53555,53555,1
53555,53558,0
53555,53559,0
53555,53560,0
53555,53562,2
53555,53571,0
53555,53572,2
53555,53574,0
53555,53575,0
53555,53583,0
53555,53589,0
53555,53590,31
53555,53593,2
53555,53594,0
53555,53597,18
53555,53598,6
53555,53703,0
53555,53704,26
53555,53705,5
53555,53706,0
53555,53711,1
53555,53713,4
53555,53714,2
53555,53715,3
53555,53716,2
53555,53717,3
53555,53718,10
53555,53719,5
53555,53726,0
53555,53792,0
53555,53911,0
53555,53925,0
53558,53508,0
53558,53515,0
53558,53516,0
53558,53517,1
53558,53521,7
53558,53523,6
53558,53527,21
53558,53528,4
53558,53529,0
53558,53531,11
53558,53532,8
53558,53534,0
53558,53544,0
53558,53555,0
53558,53558,1115
53558,53559,0
53558,53560,0
53558,53562,48
53558,53571,0
53558,53572,9
53558,53574,0
53558,53575,77
53558,53583,0
53558,53589,120
53558,53590,112
53558,53593,37
53558,53597,3
53558,53598,1
53558,53703,110
53558,53704,414
53558,53705,112
53558,53706,27
53558,53711,148
53558,53713,230
53558,53714,75
53558,53715,101
53558,53716,306
53558,53717,20
53558,53718,233
53558,53719,92
53558,53726,11
53558,53792,0
53558,53911,0
53558,53925,0
53559,53508,0
53559,53515,0
53559,53516,0
53559,53517,1
53559,53521,1
53559,53523,5
53559,53527,48
53559,53528,0
53559,53529,2
53559,53531,9
53559,53532,27
53559,53534,0
53559,53544,0
53559,53555,0
53559,53558,8
53559,53559,439
53559,53560,0
53559,53562,12
53559,53571,0
53559,53572,0
53559,53574,0
53559,53575,4
53559,53583,0
53559,53589,10
53559,53590,590
53559,53593,7
53559,53594,14
53559,53597,3
53559,53598,3
53559,53703,12
53559,53704,175
53559,53705,19
53559,53706,14
53559,53711,29
53559,53713,25
53559,53714,44
53559,53715,40
53559,53716,34
53559,53717,6
53559,53718,75
53559,53719,14
53559,53726,0
53559,53792,0
53559,53911,0
53559,53925,15
53560,53508,0
