photo_id,latitude,longitude,user_tags,taken_time,url,user_id,username,realname,registered_location,photos_count,user_longitude,user_latitude
52457518100,43.106766,-89.351067,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-06 13:33:46,https://www.flickr.com/photos/tipocracia/52457518100/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457596083,43.106766,-89.351067,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-06 13:34:09,https://www.flickr.com/photos/tipocracia/52457596083/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52456542907,43.106766,-89.351067,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-06 13:34:31,https://www.flickr.com/photos/tipocracia/52456542907/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457516325,43.106766,-89.351067,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-06 13:37:03,https://www.flickr.com/photos/tipocracia/52457516325/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52456545152,43.106733,-89.351070,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-05 09:59:29,https://www.flickr.com/photos/tipocracia/52456545152/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457063951,43.106766,-89.351067,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-06 13:38:13,https://www.flickr.com/photos/tipocracia/52457063951/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457516670,43.106766,-89.351067,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-06 13:36:58,https://www.flickr.com/photos/tipocracia/52457516670/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52456541792,43.106766,-89.351067,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-06 13:37:32,https://www.flickr.com/photos/tipocracia/52456541792/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457330579,43.106766,-89.351067,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-06 13:38:17,https://www.flickr.com/photos/tipocracia/52457330579/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52456538527,43.106766,-89.351067,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-09-06 13:50:05,https://www.flickr.com/photos/tipocracia/52456538527/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457316894,43.106530,-89.351000,"['madison', 'wisconsin', 'henriquenardi', 'northstreetmural', 'northstreet', 'usa']",2022-10-23 11:09:33,https://www.flickr.com/photos/tipocracia/52457316894/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457043341,43.106530,-89.351000,"['madison', 'wisconsin', 'henriquenardi', 'northstreetmural', 'northstreet', 'usa']",2022-10-23 11:11:54,https://www.flickr.com/photos/tipocracia/52457043341/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457572493,43.106530,-89.351000,"['madison', 'wisconsin', 'henriquenardi', 'northstreetmural', 'northstreet', 'usa']",2022-10-23 11:11:55,https://www.flickr.com/photos/tipocracia/52457572493/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457571773,43.106530,-89.351000,"['madison', 'wisconsin', 'henriquenardi', 'northstreetmural', 'northstreet', 'usa']",2022-10-23 11:12:05,https://www.flickr.com/photos/tipocracia/52457571773/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457490990,43.106530,-89.351000,"['madison', 'wisconsin', 'henriquenardi', 'northstreetmural', 'northstreet', 'usa']",2022-10-23 11:12:54,https://www.flickr.com/photos/tipocracia/52457490990/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457301129,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:07:35,https://www.flickr.com/photos/tipocracia/52457301129/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457299759,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:08:52,https://www.flickr.com/photos/tipocracia/52457299759/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457031361,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:09:30,https://www.flickr.com/photos/tipocracia/52457031361/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457481395,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:09:53,https://www.flickr.com/photos/tipocracia/52457481395/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457480665,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:10:19,https://www.flickr.com/photos/tipocracia/52457480665/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457297004,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:11:46,https://www.flickr.com/photos/tipocracia/52457297004/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457296199,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:11:52,https://www.flickr.com/photos/tipocracia/52457296199/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52456505352,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:12:07,https://www.flickr.com/photos/tipocracia/52456505352/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52456504567,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:12:42,https://www.flickr.com/photos/tipocracia/52456504567/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
52457293854,43.106586,-89.350942,"['henriquenardi', 'madison', 'wisconsin', 'northstreetmural', 'northstreet', 'usa']",2022-10-26 08:12:58,https://www.flickr.com/photos/tipocracia/52457293854/,73709939@N00,Tipocracia / Henrique Nardi,Tipocracia,"Madison, United States",11167,,
