,ZCTA5_x,ZCTA5_y,visitor_flows_x,latitude,longitude,latitude_y,longitude_y
141,53517,53555,0,43.029068,-89.8224054,43.3093378,-89.5686271
142,53517,53558,0,43.029068,-89.8224054,43.007604,-89.294221
143,53517,53559,0,43.029068,-89.8224054,43.15161519999999,-89.0752499
144,53517,53560,3,43.029068,-89.8224054,43.1939017,-89.7942892
145,53517,53562,16,43.029068,-89.8224054,43.1156039,-89.5308903
146,53517,53571,0,43.029068,-89.8224054,43.2709121,-89.3594449
147,53517,53572,126,43.029068,-89.8224054,42.9608139,-89.7192132
148,53517,53574,0,43.029068,-89.8224054,42.8047254,-89.64399240000002
149,53517,53575,7,43.029068,-89.8224054,42.9205564,-89.3795835
150,53517,53583,0,43.029068,-89.8224054,43.2327288,-89.8692203
151,53517,53589,4,43.029068,-89.8224054,42.9196358,-89.2277026
152,53517,53590,0,43.029068,-89.8224054,43.1912263,-89.18964299999999
153,53517,53593,49,43.029068,-89.8224054,42.999243,-89.5686271
154,53517,53594,0,43.029068,-89.8224054,43.1893806,-88.96053649999999
155,53517,53597,1,43.029068,-89.8224054,43.192794,-89.4553088
156,53517,53598,0,43.029068,-89.8224054,43.2066938,-89.336925
157,53517,53703,3,43.029068,-89.8224054,43.0833196,-89.3724769
158,53517,53704,2,43.029068,-89.8224054,43.1438143,-89.35114949999999
159,53517,53705,15,43.029068,-89.8224054,43.0716332,-89.46003689999999
160,53517,53706,1,43.029068,-89.8224054,43.1054334,-89.42692869999999
161,53517,53711,17,43.029068,-89.8224054,43.01563729999999,-89.4318454
162,53517,53713,10,43.029068,-89.8224054,43.0324123,-89.3843206
163,53517,53714,0,43.029068,-89.8224054,43.099931,-89.3084607
164,53517,53715,7,43.029068,-89.8224054,43.0592056,-89.4008958
165,53517,53716,6,43.029068,-89.8224054,43.0709333,-89.32743909999999
166,53517,53717,15,43.029068,-89.8224054,43.0718858,-89.5167298
167,53517,53718,1,43.029068,-89.8224054,43.0850514,-89.25622390000001
168,53517,53719,45,43.029068,-89.8224054,43.0282084,-89.5214505
